"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"Ti/Kapton Baseplate HD Top","BA-THT","Ti/Kapton Baseplate HD Top"
"Ti/Kapton Baseplate LD Top","BA-TLT","Ti/Kapton Baseplate LD Top"
"Ti/Kapton Baseplate LD Bottom","BA-BLT","Ti/Kapton Baseplate LD Bottom"
"Ti/Kapton Baseplate LD Left","BA-LLT","Ti/Kapton Baseplate LD Left"
"Ti/Kapton Baseplate LD Right","BA-RLT","Ti/Kapton Baseplate LD Right"
"Ti/Kapton Baseplate LD Five","BA-5LT","Ti/Kapton Baseplate LD Five"
"Ti/Kapton Baseplate HD Full","BA-FHT","Ti/Kapton Baseplate HD Full"
"Ti/Kapton Baseplate LD Full","BA-FLT","Ti/Kapton Baseplate LD Full"
"CuW/Kapton Baseplate HD Full","BA-FHW","CuW/Kapton Baseplate HD Full"
"CuW/Kapton Baseplate LD Full","BA-FLW","CuW/Kapton Baseplate LD Full"
"CF/Kapton Baseplate HD Top","BA-THC","CF Baseplate HD Type 1"
"CF/Kapton Baseplate HD Bottom","BA-BHC","CF Baseplate HD Type 2"
"CF/Kapton Baseplate HD Left","BA-LHC","CF Baseplate HD Type 3"
"CF/Kapton Baseplate HD Right","BA-RHC","CF Baseplate HD Type 4"
"CF/Kapton Baseplate LD Top","BA-TLC","CF Baseplate LD Type 1"
"CF/Kapton Baseplate LD Bottom","BA-BLC","CF Baseplate LD Type 2"
"CF/Kapton Baseplate LD Left","BA-LLC","CF Baseplate LD Type 3"
"CF/Kapton Baseplate LD Right","BA-RLC","CF Baseplate LD Type 4"
"CF/Kapton Baseplate LD Five","BA-5LC","CF Baseplate LD Type 5"
"Cast Scint Tile Module G5R","TM-G5RC","Scintillator Cast Tile Module G5R"
"Cast Scint Tile Module A5","TM-A5FC","Scintillator Cast Tile Module A5"
"Cast Scint Tile Module K8R","TM-K8RC","Scintillator Cast Tile Module K8R"
"HGCAL Detector ROOT",,
"CuW/Kapton Baseplate Full","BA-F0W","CuW Baseplate Type 0"
"CF/Kapton Baseplate Full","BA-F0C","CF Baseplate Type 0"
