"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"Bare Hexaboard HD Top","07-10","Bare Hexaboard HD Top"
"Bare Hexaboard HD Left","07-30","Bare Hexaboard HD Left"
"Bare Hexaboard HD Right","07-40","Bare Hexaboard HD Right"
"Bare Hexaboard HD Bottom","BH-B0","Bare Hexaboard HD Bottom"
"Hexaboard HD Bottom","XH-B3","Hexaboard HD Bottom"
"Hexaboard HD Bottom","XH-B0","Hexaboard HD Bottom"
"Hexaboard HD Full","XH-F5","Hexaboard HD Full"
"Hexaboard HD Top","XH-T5","Hexaboard HD Top"
"Hexaboard HD Bottom","XH-B5","Hexaboard HD Bottom"
"Hexaboard HD Left","XH-L5","Hexaboard HD Left"
"Hexaboard HD Right","XH-R5","Hexaboard HD Right"
"HGC-LDO",LDO,"HGC-LDO"
"HD HGCROC",ICRH3c,HD HGCROC
"HD HGCROC",ICRH3b,HD HGCROC

"CuW/Kapton Baseplate HD Bottom","BA-WHB","CuW Baseplate HD Type 2 old"
