種類,Batch number,CERN ID,入庫NTU,製造商,正反面且清楚原檔,拍照 圖檔,,拍照檢查,Flatness紀錄,Thickness紀錄,肉眼檢查,肉眼檢查,肉眼檢查,,導通記錄,,,,,,,,,,,Flatness紀錄-1,,,link,備註
,,,,,Bare PCB,,,,,,,,,,,,,,,,,Assembled PCB(上件),,,,,,,,
,,,,,拍照,"溢膠檢查
階梯孔+邊緣=",溢膠檢查_備註,"Glue problems
(OK 請打勾)",Flatness,Thickness,Plating (BGA),Plating (Holes),Soldermask alignment,BGA照片(for影像分析),"Test coupons (observations, continuity measurements etc.)",更新文件,Accept?,上件完成日期,上件CERN ID,打件廠商,備註,標籤,已上件,目測,拍照,簡易Flatness紀錄-1,標示chip ID,HV-GND 短路線焊接,,
HD-full,2432,320070100300000,,Plotech,TRUE,320-07-01-003-00000,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00000,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300001,,Plotech,TRUE,320-07-01-003-00001,,TRUE,<0.50,1.310,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00001,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300002,,Plotech,TRUE,320-07-01-003-00002,,TRUE,<0.50,1.305,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00002,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300003,,Plotech,TRUE,320-07-01-003-00003,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00003,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300005,,Plotech,TRUE,320-07-01-003-00005,,TRUE,>1.0,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00005,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300007,,Plotech,TRUE,320-07-01-003-00007,,TRUE,>1.0,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00007,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300037,,Plotech,TRUE,320-07-01-003-00037,,TRUE,0.5~1.0,1.326,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00037,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300038,,Plotech,TRUE,320-07-01-003-00038,,TRUE,<0.50,1.326,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00038,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300039,,Plotech,TRUE,320-07-01-003-00039,,TRUE,<0.50,1.316,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00039,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
