時間戳記,Bare serial number,Batch,Manufacturer,Version,Thickness,Flatness,Vision inspection [Thickness],Vision inspection [Flatness],Vision inspection [Plating (BGA)],Vision inspection [Plating (Holes)],Vision inspection [Soldermask],Vision inspection [Test coupons],Vision inspection (option) [Glue],Vision inspection (option) [Stepped Holes],Accepted,General comment
2025/1/8 下午 2:59:42,320070100300436,2444,Plotech,V3-HD-V2.2,1.312,1.5~2.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:02:56,320070100300437,2444,Plotech,V3-HD-V2.2,1.322,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:08:09,320070100300522,2451,Plotech,V3-HD-V2.2,1.331,1.5~2.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:11:28,320070100300543,2451,Plotech,V3-HD-V2.2,1.311,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:15:13,320070100300536,2451,Plotech,V3-HD-V2.2,1.322,2.5~3.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:17:44,320070100300519,2451,Plotech,V3-HD-V2.2,1.323,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:19:59,320070100300506,2451,Plotech,V3-HD-V2.2,1.334,<0.5,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:22:11,320070100300509,2451,Plotech,V3-HD-V2.2,1.323,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:23:49,320070100300538,2451,Plotech,V3-HD-V2.2,1.336,1.0~1.5,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:25:57,320070100300511,2451,Plotech,V3-HD-V2.2,1.328,1.0~1.5,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Yes,
2025/1/8 下午 3:29:23,320070100300535,2451,Plotech,V3-HD-V2.2,1.337,<0.5,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:31:42,320070100300510,2451,Plotech,V3-HD-V2.2,1.329,1.0~1.5,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:44:42,320070100300534,2451,Plotech,V3-HD-V2.2,1.327,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:47:37,320070100300521,2451,Plotech,V3-HD-V2.2,1.333,0.5~1.0,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:49:41,320070100300520,2451,Plotech,V3-HD-V2.2,1.332,1.5~2.0,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:57:57,320070100300516,2451,Plotech,V3-HD-V2.2,1.336,1.5~2.0,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 3:59:59,320070100300513,2451,Plotech,V3-HD-V2.2,1.322,<0.5,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 4:03:52,320070100300533,2451,Plotech,V3-HD-V2.2,1.321,<0.5,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
2025/1/8 下午 4:06:00,320070100300512,2451,Plotech,V3-HD-V2.2,1.331,<0.5,Pass,Pass,Pass,Pass,Pass,Pass,,,Yes,
