Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數,Column 35
2024-12-17 15:39:48,320BHB003000023,320XHB3BPP00009,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00993,QP00991,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.28/0.076,,Pass,Pass,2.18/0.53,No,HV circuit status :short HV(已焊短路電阻),,
2024-12-17 15:55:33,320BHB003000017,320XHB3BPP00008,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00995,QP00994,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.29/0.076,,Pass,Pass,2.27/0.53,No,HV circuit status :short HV(已焊短路電阻),,
2024-12-17 16:11:29,320BHB003000012,320XHB3BPP00007,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00997,QP00996,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.3/0.078,,Pass,Pass,,No,HV circuit status :short HV(已焊短路電阻),,
2024-12-17 16:24:50,320BHB003000011,320XHB3BPP00006,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00127,QP00128,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,1.8/1.1,,,,,,Fail,,
2024-12-17 16:36:36,320BHB003000000,320XHB3BPP00001,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00120,QP00164,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.29/0.08,,Pass,Pass,2.24/0.55,No,HV circuit status :short HV(已焊短路電阻),,
2025-01-08 17:31:22,320070100300036,320XHR4BPP00001,2452,Plotech,v3B,012184 2824,012108 2824,,,,,QP01112,QP01130,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:38:43,320070100300037,320XHR4BPP00002,2452,Plotech,v3B,012109 2824,012098 2824,,,,,QP01113,QP01131,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:42:07,320070100300040,320XHR4BPP00003,2452,Plotech,v3B,012121 2824,012102 2824,,,,,QP01103,QP01127,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:47:30,320074000300041,320XHR4BPP00004,2452,Plotech,v3B,012089 2824,012322 2824,,,,,QP01128,QP01129,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:51:12,320071000300057,320XHT4BPP00001,2024.11.26,Plotech,v3B,,,012301 2824,012165 2824,012248 2824,,QP01067,QP01121,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:52:25,320071000300056,320XHT4BPP00002,2024.11.26,Plotech,v3B,,,012284 2824,012292 2824,012142 2824,,QP01181,QP01046,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:55:08,320071000300061,320XHT4BPP00003,2024.11.26,Plotech,v3B,,,012170 2824,012110 2824,012132 2824,,QP01116,QP01159,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:56:17,320071000300060,320XHT4BPP00004,2024.11.26,Plotech,v3B,,,012189 2824,012186 2824,012180 2824,,QP01079,QP01053,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:58:13,320073000300012,320XHL4BPP00001,2024.11.08,Plotech,v3B,,,012136 2824,012114 2824,,,QP00699,QP00704,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 17:59:29,320073000300013,320XHL4BPP00002,2024.11.08,Plotech,v3B,,,012010 2824,012268 2824,,,QP00702,QP00695,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 18:00:24,320073000300004,320XHL4BPP00003,2024.11.08,Plotech,v3B,,,012018 2824,012298 2824,,,QP00708,QP00693,,,,,,,,,,,,,,,,,,,,,,
2025-01-08 18:01:15,320073000300005,320XHL4BPP00004,2024.11.08,Plotech,v3B,,,012058 2824,012146 2824,,,QP00710,QP00705,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 12:14:55,320BHB003000033,320XHB03PP00012,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00984,QP00983,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.32/0.6,Pass,Pass,Pass,2.34/0.55,No,,,
2025-02-06 15:01:31,320070100300029,320XHF4BPP00036,,Plotech,v3B,013488 2824,013253 2824,013480 2824,013221 2824,013182 2824,013162 2824,QP00617,QP00616,QP00619,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.81,Pass,Pass,Pass,3.46/1.14,normal,,,
2025-02-06 15:26:31,320070100300177,320XHF4BPP00035,,Plotech,v3B,013567 2824,013210 2824,013417 2824,013007 2824,013062 2824,013180 2824,QP00600,QP00598,QP00601,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.91,Pass,Pass,Pass,3.44/1.11,normal,,,
2025-02-06 15:44:42,320070100300052,320XHF4BPP00054,,Plotech,v3B,013201 2824,013598 2824,013082 2824,013599 2824,013588 2824,013610 2824,QP00498,QP00497,QP00499,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.88,Pass,Pass,Pass,3.48/1.11,normal,,,
2025-02-06 16:10:16,320070100300098,320XHF4BPP00056,,Plotech,v3B,013806 2824,013818 2824,013584 2824,013853 2824,013607 2824,013568 2824,QP00520,QP00519,QP00521,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.8,Pass,Pass,Pass,3.44/1.1,normal,,,
2025-02-06 16:27:37,320070100300044,320XHF4BPP00055,,Plotech,v3B,013634 2824,013609 2824,013647 2824,013622 2824,013562 2824,013821 2824,QP01028,QP01042,QP01234,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.74,Pass,Pass,Pass,3.44/1.19,normal,,,
2025-02-06 16:46:10,320070100300096,320XHF4BPP00057,,Plotech,v3B,013565 2824,013589 2824,013614 2824,013802 2824,013580 2824,013564 2824,QP00526,QP00525,QP00528,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.91,Pass,Pass,Pass,3.44/1.14,normal,,,
2025-02-06 17:10:06,320070100300000,320XHF4BPP00064,,Plotech,v3B,013031 2824,013008 2824,013048 2824,013011 2824,013071 2824,013068 2824,QP00341,QP00340,QP00342,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.79,Pass,Pass,Pass,3.4/1.08,broken,,,
2025-02-07 11:46:09,320070100300016,320XHF4BPP00065,,Plotech,v3B,013473 2824,013546 2824,013485 2824,013497 2824,013498 2824,013539 2824,QP00301,QP00300,QP01168,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.74,Pass,Pass,Pass,3.42/1.12,normal,,,
2025-02-07 12:11:57,320070100300028,320XHF4BPP00037,,Plotech,v3B,013037 2824,013519 2824,013654 2824,013264 2824,013269 2824,013053 2824,QP00621,QP00620,QP00622,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.75,Pass,Pass,Pass,3.4/1.13,normal,,,
2025-02-07 12:38:05,320070100300035,320XHF4BPP00042,,Plotech,v3B,013518 2824,013003 2824,013398 2824,013556 2824,012106 2824,013463 2824,QP00661,QP00660,QP00664,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.59,Pass,Pass,Pass,3.46/1.13,normal,,,
