Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數
2024-12-02 14:57:30,320070100300055,320XHF4BPP00007,,Plotech,v3B,012178 2824,012231 2824,012179 2824,012233 2824,012170 2824,012176 2824,QP00555,QP00554,QP00558,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.63,Pass,Pass,Pass,3.2/1.05,No,Retest,
2024-12-02 16:32:03,320070100300056,320XHF4BPP00008,,Plotech,v3B,012236 2824,012182 2824,012050 2824,012031 2824,012048 2824,012223 2824,QP00552,QP00550,QP00553,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.40,Pass,Pass,Pass,3.38/1.12,No,,
2024-12-02 17:36:23,320070100300072,320XHF4BPP00009,,Plotech,v3B,013252 2824,013228 2824,013203 2824,013230 2824,013313 2824,013277 2824,QP01059,QP01072,QP01055,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.2/0.53,Pass,Pass,Pass,3.2/1.05,No,Retest,
2024-12-02 18:15:38,320070100300113,320XHF4BPP00034,,Plotech,v3B,012024 2824,012002 2824,012067 2824,012071 2824,012055 2824,012016 2824,QP00591,QP00590,QP00561,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/1.16,Pass,Pass,Pass,3.41/1.05,No,,
2024-12-02 18:58:36,320070100300115,320XHF4BPP00033,,Plotech,v3B,012040 2824,012021 2824,012234 2824,012007 2824,012228 2824,012006 2824,QP00585,QP00583,QP00586,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.73,Pass,Pass,Pass,3.37/1.07,No,Retest,
2024-12-03 11:34:18,320070100300178,320XHF4BPP00010,,Plotech,v3B,013518 2824,013207 2824,013428 2824,013176 2824,013267 2824,013387 2824,QP00596,QP00595,QP00597,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.236/0.65,Pass,Pass,Pass,3.36/1.05,No,,
2024-12-03 12:10:15,320070100300048,320XHF4BPP00032,,Plotech,v3B,012051 2824,013073 2824,012300 2824,012304 2824,012333 2824,013527 2824,QP00686,QP00685,QP00659,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.226/0.501,Pass,Pass,Pass,3.4/1.07,No,,
2024-12-03 12:29:14,320070100300039,320XHF4BPP00031,,Plotech,v3B,013186 2824,013258 2824,013128 2824,013140 2824,013188 2824,013233 2824,QP00504,QP00503,QP00505,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.74,Pass,Pass,Pass,3.3/1.05,No,,
2024-12-03 12:56:36,320070100300033,320XHF4BPP00030,,Plotech,v3B,013346 2824,013342 2824,013410 2824,013010 2824,013248 2824,013554 2824,QP00671,QP00670,QP00655,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.218/0.805,Pass,Pass,Pass,3.3/1.09,No,,
2024-12-03 13:25:00,320070100300053,320XHF4BPP00029,,Plotech,v3B,012060 2824,012158 2824,012252 2824,012242 2824,012240 2824,012257 2824,QP00682,QP00680,QP00683,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.901,Pass,Pass,Pass,3.4/1.09,No,Retest,
2024-12-03 14:32:23,320070100300082,320XHF4BPP00028,,Plotech,v3B,012324 2824,012080 2824,012302 2824,012028 2824,012183 2824,012129 2824,QP00677,QP00676,QP00679,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.224/0.95,Pass,Pass,Pass,3.42/1.08,No,,
2024-12-03 15:14:39,320070100300091,320XHF4BPP00027,,Plotech,v3B,012101 2824,012032 2824,012312 2824,012311 2824,012323 2824,012326 2824,QP00674,QP00673,QP00675,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/1.07,Pass,Pass,Pass,3.41/1.1,No,,
2024-12-03 15:35:45,320070100300187,320XHF4BPP00026,,Plotech,v3B,013628 2824,013224 2824,013248 2824,013581 2824,013184 2824,013054 2824,QP00531,QP00530,QP00532,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.71,Pass,Pass,Pass,3.36/1.07,No,,
2024-12-03 15:55:52,320070100300127,320XHF4BPP00025,,Plotech,v3B,013329 2824,013455 2824,013344 2824,013446 2824,013374 2824,013402 2824,QP00607,QP00606,QP00608,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.99,Pass,Pass,Pass,3.30/1.06,No,,
2024-12-03 16:13:19,320070100300057,320XHF4BPP00024,,Plotech,v3B,012028 2824,012029 2824,012038 2824,012027 2824,012076 2824,012039 2824,QP00548,QP00547,QP00549,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.94,Pass,Pass,Pass,3.34/1.08,No,,
2024-12-03 16:37:00,320070100300009,320XHF4BPP00023,,Plotech,v3B,013181 2824,013595 2824,013631 2824,013573 2824,013292 2824,013451 2824,QP01209,QP01056,QP01244,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.58,Pass,Pass,Pass,3.35/1.08,Yes,Large noise in half of chip,
2024-12-03 16:56:01,320070100300088,320XHF4BPP00022,,Plotech,v3B,012063 2824,012033 2824,012030 2824,012022 2824,012011 2824,012023 2824,QP00570,QP00569,QP00571,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.47,Pass,Pass,Pass,3.41/1.16,No,,
2024-12-03 17:23:02,320070100300124,320XHF4BPP00021,,Plotech,v3B,012209 2824,012205 2824,012207 2824,012193 2824,012243 2824,012203 2824,QP00581,QP00580,QP00582,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.44,Pass,Pass,Pass,3.4/1.18,No,Retest,
