Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數,Column 35
2025-01-08 10:31:22,320074000300036,320XHR4BPP00001,2452,Plotech,v3B,012184 2824,012108 2824,,,,,QP01112,QP01130,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 10:38:43,320074000300037,320XHR4BPP00002,2452,Plotech,v3B,012109 2824,012098 2824,,,,,QP01113,QP01131,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 10:42:07,320074000300040,320XHR4BPP00003,2452,Plotech,v3B,012121 2824,012102 2824,,,,,QP01103,QP01127,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-08 10:47:30,320074000300041,320XHR4BPP00004,2452,Plotech,v3B,012089 2824,012322 2824,,,,,QP01128,QP01129,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-08 10:51:12,320071000300057,320XHT4BPP00001,2024.11.26,Plotech,v3B,,,012301 2824,012165 2824,012248 2824,,QP01067,QP01121,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 10:52:25,320071000300056,320XHT4BPP00002,2024.11.26,Plotech,v3B,,,012284 2824,012292 2824,012142 2824,,QP01181,QP01046,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 10:55:08,320071000300061,320XHT4BPP00003,2024.11.26,Plotech,v3B,,,012170 2824,012110 2824,012132 2824,,QP01116,QP01159,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-08 10:56:17,320071000300060,320XHT4BPP00004,2024.11.26,Plotech,v3B,,,012189 2824,012186 2824,012180 2824,,QP01079,QP01053,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-08 10:58:13,320073000300012,320XHL4BPP00001,2024.11.08,Plotech,v3B,,,012136 2824,012114 2824,,,QP00699,QP00704,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 10:59:29,320073000300013,320XHL4BPP00002,2024.11.08,Plotech,v3B,,,012010 2824,012268 2824,,,QP00702,QP00695,,,,,,,,,,,,,,,,,,,Not tested,"shipping to CERN, No trophy boards so no electric testing at NTU",,
2025-01-08 11:00:24,320073000300004,320XHL4BPP00003,2024.11.08,Plotech,v3B,,,012018 2824,012298 2824,,,QP00708,QP00693,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-08 11:01:15,320073000300005,320XHL4BPP00004,2024.11.08,Plotech,v3B,,,012058 2824,012146 2824,,,QP00710,QP00705,,,,,,,,,,,,,,,,,,,Not tested,No trophy boards so no electric testing at NTU,,
2025-01-09 05:14:55,320BHB003000033,320XHB03PP00012,,Plotech,v3A,2120-KOR,2120-KOR,2120-KOR,2120-KOR,,,QP00984,QP00983,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.32/0.6,Pass,Pass,Pass,2.34/0.55,normal,shipping to CERN,,
