KIND_OF_PART,SERIAL_NUMBER,BARCODE,NAME_LABEL,VERSION,BATCH_NUMBER,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE
Bare Hexaboard HD Right,320074000300041,320074000300041,Bare Hexaboard HD Right 320074000300041,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300040,320074000300040,Bare Hexaboard HD Right 320074000300040,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300006,320074000300006,Bare Hexaboard HD Right 320074000300006,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300007,320074000300007,Bare Hexaboard HD Right 320074000300007,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300036,320074000300036,Bare Hexaboard HD Right 320074000300036,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300037,320074000300037,Bare Hexaboard HD Right 320074000300037,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300020,320074000300020,Bare Hexaboard HD Right 320074000300020,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300021,320074000300021,Bare Hexaboard HD Right 320074000300021,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300034,320074000300034,Bare Hexaboard HD Right 320074000300034,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300035,320074000300035,Bare Hexaboard HD Right 320074000300035,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300014,320074000300014,Bare Hexaboard HD Right 320074000300014,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300015,320074000300015,Bare Hexaboard HD Right 320074000300015,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300002,320074000300002,Bare Hexaboard HD Right 320074000300002,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300003,320074000300003,Bare Hexaboard HD Right 320074000300003,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300016,320074000300016,Bare Hexaboard HD Right 320074000300016,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300017,320074000300017,Bare Hexaboard HD Right 320074000300017,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300048,320074000300048,Bare Hexaboard HD Right 320074000300048,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300049,320074000300049,Bare Hexaboard HD Right 320074000300049,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300004,320074000300004,Bare Hexaboard HD Right 320074000300004,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300005,320074000300005,Bare Hexaboard HD Right 320074000300005,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300010,320074000300010,Bare Hexaboard HD Right 320074000300010,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300011,320074000300011,Bare Hexaboard HD Right 320074000300011,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300052,320074000300052,Bare Hexaboard HD Right 320074000300052,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
Bare Hexaboard HD Right,320074000300053,320074000300053,Bare Hexaboard HD Right 320074000300053,V3-HD-Right-V1.0,2448,NTU,National Taiwan University,Plotech,2024-10-29 12:00:00
