KIND_OF_PART,SERIAL_NUMBER,BARCODE,NAME_LABEL,VERSION,BATCH_NUMBER,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE
Bare Hexaboard HD Full,320070100300436,320070100300436,Bare Hexaboard HD Full 320070100300436,V3-HD-V2.2,2444,NTU,National Taiwan University,Plotech,2024-10-28 0:00:00
Bare Hexaboard HD Full,320070100300437,320070100300437,Bare Hexaboard HD Full 320070100300437,V3-HD-V2.3,2444,NTU,National Taiwan University,Plotech,2024-10-28 0:00:00
Bare Hexaboard HD Full,320070100300522,320070100300522,Bare Hexaboard HD Full 320070100300522,V3-HD-V2.4,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300543,320070100300543,Bare Hexaboard HD Full 320070100300543,V3-HD-V2.5,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300536,320070100300536,Bare Hexaboard HD Full 320070100300536,V3-HD-V2.6,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300519,320070100300519,Bare Hexaboard HD Full 320070100300519,V3-HD-V2.7,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300506,320070100300506,Bare Hexaboard HD Full 320070100300506,V3-HD-V2.8,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300509,320070100300509,Bare Hexaboard HD Full 320070100300509,V3-HD-V2.9,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300538,320070100300538,Bare Hexaboard HD Full 320070100300538,V3-HD-V2.10,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300511,320070100300511,Bare Hexaboard HD Full 320070100300511,V3-HD-V2.11,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300535,320070100300535,Bare Hexaboard HD Full 320070100300535,V3-HD-V2.12,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300510,320070100300510,Bare Hexaboard HD Full 320070100300510,V3-HD-V2.13,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300534,320070100300534,Bare Hexaboard HD Full 320070100300534,V3-HD-V2.14,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300521,320070100300521,Bare Hexaboard HD Full 320070100300521,V3-HD-V2.15,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
Bare Hexaboard HD Full,320070100300520,320070100300520,Bare Hexaboard HD Full 320070100300520,V3-HD-V2.16,2451,NTU,National Taiwan University,Plotech,2024-12-16 0:00:00
