KIND_OF_PART,SERIAL_NUMBER,BARCODE,NAME_LABEL,VERSION,BATCH_NUMBER,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE
Bare Hexaboard HD Full,320070100300362,320070100300362,Bare Hexaboard HD Full 320070100300362,V3-HD-V2.2,2442,NTU,National Taiwan University,Plotech,2024-10-18 12:00:00
Bare Hexaboard HD Full,320070100300080,320070100300080,Bare Hexaboard HD Full 320070100300080,V3-HD-V2.2,2432,NTU,National Taiwan University,Plotech,2024-08-09 12:00:00
Bare Hexaboard HD Bottom,320BHB003000000,320BHB003000000,Bare Hexaboard HD Bottom 320BHB003000000,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000001,320BHB003000001,Bare Hexaboard HD Bottom 320BHB003000001,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000003,320BHB003000003,Bare Hexaboard HD Bottom 320BHB003000003,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000008,320BHB003000008,Bare Hexaboard HD Bottom 320BHB003000008,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000009,320BHB003000009,Bare Hexaboard HD Bottom 320BHB003000009,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000010,320BHB003000010,Bare Hexaboard HD Bottom 320BHB003000010,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000011,320BHB003000011,Bare Hexaboard HD Bottom 320BHB003000011,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000012,320BHB003000012,Bare Hexaboard HD Bottom 320BHB003000012,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000017,320BHB003000017,Bare Hexaboard HD Bottom 320BHB003000017,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000022,320BHB003000022,Bare Hexaboard HD Bottom 320BHB003000022,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000023,320BHB003000023,Bare Hexaboard HD Bottom 320BHB003000023,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000029,320BHB003000029,Bare Hexaboard HD Bottom 320BHB003000029,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000030,320BHB003000030,Bare Hexaboard HD Bottom 320BHB003000030,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000033,320BHB003000033,Bare Hexaboard HD Bottom 320BHB003000033,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000034,320BHB003000034,Bare Hexaboard HD Bottom 320BHB003000034,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000035,320BHB003000035,Bare Hexaboard HD Bottom 320BHB003000035,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000037,320BHB003000037,Bare Hexaboard HD Bottom 320BHB003000037,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000039,320BHB003000039,Bare Hexaboard HD Bottom 320BHB003000039,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000041,320BHB003000041,Bare Hexaboard HD Bottom 320BHB003000041,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000045,320BHB003000045,Bare Hexaboard HD Bottom 320BHB003000045,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000046,320BHB003000046,Bare Hexaboard HD Bottom 320BHB003000046,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Bottom,320BHB003000047,320BHB003000047,Bare Hexaboard HD Bottom 320BHB003000047,V3-HD-Bottom-V1.0,2331,NTU,National Taiwan University,Plotech,2023-08-04 12:00:00
Bare Hexaboard HD Left,320073000300004,320073000300004,Bare Hexaboard HD Left 320073000300004,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300005,320073000300005,Bare Hexaboard HD Left 320073000300005,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300006,320073000300006,Bare Hexaboard HD Left 320073000300006,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300007,320073000300007,Bare Hexaboard HD Left 320073000300007,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300012,320073000300012,Bare Hexaboard HD Left 320073000300012,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300013,320073000300013,Bare Hexaboard HD Left 320073000300013,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300016,320073000300016,Bare Hexaboard HD Left 320073000300016,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300017,320073000300017,Bare Hexaboard HD Left 320073000300017,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300018,320073000300018,Bare Hexaboard HD Left 320073000300018,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300019,320073000300019,Bare Hexaboard HD Left 320073000300019,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300024,320073000300024,Bare Hexaboard HD Left 320073000300024,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300025,320073000300025,Bare Hexaboard HD Left 320073000300025,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300028,320073000300028,Bare Hexaboard HD Left 320073000300028,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300029,320073000300029,Bare Hexaboard HD Left 320073000300029,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300030,320073000300030,Bare Hexaboard HD Left 320073000300030,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
Bare Hexaboard HD Left,320073000300031,320073000300031,Bare Hexaboard HD Left 320073000300031,V3-HD-Left-V1.0,2334,NTU,National Taiwan University,Plotech,2023-08-25 12:00:00
